,timestamp,rurality,s1 score,s2 score,s3 score,uw gamsat,w gamsat,offer uni,offer uni gpa,offer uni gamsat,offer uni place type,offer uni preference,interviewed?,interview uni,interview uni gpa,interview uni gamsat,places selected,interview uni preference,deakin bonus,anu bonus,mq bonus (gpa),casper quartile,uq rmp tier,uq type,gemsas over other?,interview opinion,notes,year,interview prep hours,other rejections,status
527,30/10/2023 13:04:26,Non-Rural,76,74,69,73.0,72.0,The University of Melbourne,7.0,73.0,CSP,1.0,,,,,"CSP, BMP",,0,0,0,,,,Yes,Unsure,,2023,26-50,,
528,30/10/2023 13:04:33,Rural,55,55,56,55.33,55.5,The University of Queensland (CQ-WB RMP),5.5,55.33,BMP,1.0,,,,,"CSP, BMP",,6,0,5,3rd,Tier 1 (CQ-WB RMP),,Yes,Very well,,2023,26-50,,
529,30/10/2023 13:04:51,Non-Rural,68,87,90,81.67,83.75,The University of Melbourne,6.96,81.67,CSP,1.0,,,,,"CSP, BMP",,0,0,0,,,,Yes,Unsure,,2023,11-25,,
530,30/10/2023 13:06:04,Non-Rural,67,73,73,71.0,71.5,The University of Melbourne,6.98,71.0,CSP,1.0,,,,,"CSP, BMP",,2,0,0,4th,,,No,Unsure,,2023,26-50,,
531,30/10/2023 13:06:27,Non-Rural,62,76,63,67.0,66.0,,,,,,,The University of Western Australia,7.0,66.0,CSP,1.0,0,0,0,,,,,Very well,PhD,2023,26-50,UniMelb,
532,30/10/2023 13:06:28,Non-Rural,68,76,69,71.0,70.5,The University of Melbourne,6.8,71.0,CSP,1.0,,,,,"CSP, BMP, FFP",,0,0,0,,,,Yes,Well,,2023,0-5,,
533,30/10/2023 13:07:13,Rural,56,57,59,57.33,57.75,The University of Melbourne,6.98,57.33,BMP,1.0,,,,,"CSP, BMP",,8,0,3,,Tier 3,,Unsure,Well,,2023,51-100,,
534,30/10/2023 13:07:45,Non-Rural,73,82,75,76.67,76.25,The University of Melbourne,6.593,76.67,CSP,1.0,,,,,"CSP, BMP, FFP",,0,0,0,,,,Yes,Unsure,,2023,51-100,,
535,30/10/2023 13:08:24,Non-Rural,77,71,71,73.0,72.5,The University of Melbourne,6.95,73.0,CSP,1.0,,,,,"CSP, BMP",,0,0,0,,,,Yes,Poorly,,2023,51-100,,
536,30/10/2023 13:10:20,Non-Rural,66,68,63,65.67,65.0,Macquarie University,6.896,65.0,FFP,1.0,,,,,"CSP, BMP, FFP",,2,2,0,3rd,,,Yes,Well,,2023,11-25,,
537,30/10/2023 13:10:31,Non-Rural,68,67,74,69.67,70.75,The University of Melbourne,6.865,69.67,BMP,1.0,,,,,BMP,,0,0,0,,,,Yes,Well,,2023,51-100,,
538,30/10/2023 13:10:49,Non-Rural,61,77,66,68.0,67.5,The University of Queensland (CQ-WB RMP),6.84,68.0,CSP,3.0,,,,,"CSP, BMP, FFP",,2,0,0,4th,Tier 3,,Yes,Unsure,,2023,6-10,,
539,30/10/2023 13:11:52,Non-Rural,66,68,84,72.67,75.5,Griffith University,6.697,75.5,CSP,2.0,,The University of Wollongong,5.5,75.5,"CSP, BMP",1.0,0,0,0,3rd,,,Yes,Unsure,"Moderate portfolio, Grif-GC campus",2023,11-25,,
