,uni,offer type,postgrad,gpa,gamsat,combo score
2102,Deakin University,CSP,,6.91,63.0,1.617142857
2103,Deakin University,CSP,,6.98,62.0,1.617142857
2104,Deakin University,CSP,Yes,6.94,61.0,1.601428571
2105,Deakin University,CSP,,6.91,61.0,1.597142857
2106,Deakin University,CSP,,6.69,64.0,1.595714286
2107,Deakin University,CSP,,6.18,71.0,1.592857143
2108,Deakin University,CSP,,6.29,68.0,1.578571429
2109,Deakin University,CSP,,6.71,62.0,1.578571429
2110,Deakin University,CSP,,6.7,61.0,1.567142857
2111,Deakin University,CSP,,6.7,61.0,1.567142857
2112,Deakin University,CSP,,6.74,60.0,1.562857143
2113,Deakin University,CSP,,6.25,66.0,1.552857143
2114,Deakin University,CSP,,6.1,66.0,1.531428571
2115,Deakin University,CSP,,6.59,59.0,1.531428571
2116,Deakin University,Other,,6.73,72.0,1.681428571
2117,Deakin University,Other,,6.97,65.0,1.645714286
2118,Deakin University,Other,,6.97,65.0,1.645714286
2119,Deakin University,Other,,6.8,65.0,1.621428571
2120,Deakin University,Other,,6.7,66.0,1.617142857
2121,Deakin University,Other,,6.55,68.0,1.615714286
2122,Deakin University,Other,,6.79,64.0,1.61
2123,Deakin University,Other,,6.75,64.0,1.604285714
2124,Deakin University,Other,,6.69,64.0,1.595714286
2125,Deakin University,Other,,6.78,62.0,1.588571429
2126,Deakin University,Other,,6.89,60.0,1.584285714
2127,Deakin University,Other,,6.5,65.0,1.578571429
2134,Flinders University,BMP,,6.72,60.0,1.56
2135,Flinders University,BMP,,6.57,60.0,1.538571429
2136,Flinders University,BMP,,5.37,70.0,1.467142857
2137,Flinders University,CSP,,6.95,67.0,1.662857143
2138,Flinders University,CSP,,6.99,65.0,1.648571429
2139,Flinders University,CSP,,6.4,73.0,1.644285714
2140,Flinders University,CSP,Yes,6.89,65.0,1.634285714
2141,Flinders University,CSP,,6.7,65.0,1.607142857
2142,Flinders University,CSP,,6.56,66.0,1.597142857
2143,Flinders University,CSP,,6.44,67.0,1.59
2144,Flinders University,CSP,,6.35,68.0,1.587142857
2145,Flinders University,CSP,Yes,6.63,62.0,1.567142857
2146,Flinders University,CSP,,6.4,65.0,1.564285714
2147,Flinders University,CSP,,6.2,67.0,1.555714286
2148,Flinders University,CSP,,6.0,68.0,1.537142857
2149,Flinders University,CSP,,6.02,66.0,1.52
2150,Flinders University,CSP,,5.75,64.0,1.461428571
