,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
138,Non-Rural,56,71,81,The University of Melbourne,6.925,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
139,Non-Rural,61,70,78,The University of Melbourne,6.925,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2nd,0,0.0,No,0.0,0.0,0.0,0
140,Non-Rural,65,64,63,The University of Western Australia,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
141,Rural,67,66,84,The University of Melbourne,6.946,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,No,0.0,0.0,0.0,0
142,Non-Rural,73,85,95,The University of Melbourne,6.713,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
143,Non-Rural,58,70,75,The University of Notre Dame Sydney,6.25,,,,,,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
144,Non-Rural,65,63,71,The University of Western Australia,6.83.,The University of Wollongong,6.83.,The University of Notre Dame Sydney,6.83.,The University of Notre Dame Fremantle,6.83.,0.0,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,4
145,Non-Rural,68,65,71,The University of Melbourne,7,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,No,0.0,0.0,0.0,0
146,Rural,64,80,63,Griffith University,6.685,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
147,Non-Rural,61,61,68,The University of Wollongong,6.55,,,,,,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,4
148,Non-Rural,60,77,60,Deakin University,6.7,The University of Melbourne,6.7,,,,,0.0,,0.0,,0.0,,3rd,8,Did not apply,Yes,0.0,0.0,0.0,0
149,No   ural,68,73,73,The University of Melbourne,6.667,The University of Queensland (Greater Brisbane),6.264,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
150,Non-Rural,68,71,74,The University of Melbourne,6.986,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,Yes,0.0,0.0,0.0,0
151,Non-Rural,69,72,78,The University of Melbourne,7,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
152,Non-Rural,77,76,73,The University of Notre Dame Sydney,6.852,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
153,Non-Rural,61,72,78,The University of Notre Dame Sydney,6.906,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
154,Non-Rural,62,78,68,The University of Melbourne,6.811,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
155,Rural,63,57,59,The University of Western Australia,5.57,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
156,Rural,61,84,76,The University of Melbourne,6.9,,,,,,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
157,Non-Rural,70,65,71,The University of Queensland (Greater Brisbane),7,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
158,Non-Rural,65,55,68,The University of Wollongong,6.64,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,4
159,Non-Rural,63,61,76,Deakin University,6.75,The University of Queensland (RMP/DDMP),6.648,Griffith University,6.65,The University of Melbourne,6.733,0.0,,0.0,,0.0,,0.0,4,Did not apply,No,0.0,Tier 3,Toowoomba,0
