,Timestamp,Rurality,University,Final Combo Score,GPA,GAMSAT,Raw Combo Score,UQ RMP/MP Tier,CASPer Quartile,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,Outlier?
129,30/08/2023 11:12:26,Non-Rural,The University of Melbourne,1.7124,6.76,74.67,1.7124,N/A,N/A,0,0,0,-,
130,30/08/2023 12:13:36,Non-Rural,The University of Melbourne,1.71158571428571,6.708,75.33,1.71158571428571,N/A,N/A,2,2,0,GAM,
131,30/08/2023 18:14:06,Non-Rural,The University of Melbourne,1.71158571428571,6.988,71.33,1.71158571428571,N/A,N/A,0,0,0,-,
132,30/08/2023 12:45:26,Non-Rural,The University of Melbourne,1.71,7,71,1.71,N/A,N/A,0,0,0,No,
133,30/08/2023 15:11:50,Non-Rural,The University of Melbourne,1.71,7,71,1.71,N/A,N/A,0,0,0,Monash interview offer,
134,30/08/2023 17:52:23,Non-Rural,The University of Melbourne,1.70955714285714,6.95,71.67,1.70955714285714,N/A,N/A,0,0,0,no bonuses,
135,30/08/2023 11:14:39,Non-Rural,The University of Melbourne,1.70928571428571,6.925,72,1.70928571428571,N/A,3rd,0,0,0,-,
136,30/08/2023 23:33:44,Non-Rural,The University of Melbourne,1.70884285714286,6.875,72.67,1.70884285714286,N/A,N/A,0,0,0,-,
137,30/08/2023 13:52:08,Non-Rural,The University of Melbourne,1.7087,6.594,76.67,1.7087,N/A,N/A,0,0,0,NA,
138,30/08/2023 18:40:59,Non-Rural,The University of Melbourne,1.70857142857143,6.85,73,1.70857142857143,N/A,N/A,0,0,0,-,
139,31/08/2023 14:14:15,Non-Rural,The University of Melbourne,1.70812857142857,6.94,71.67,1.70812857142857,N/A,N/A,0,0,0,-,
140,31/08/2023 07:39:47,Non-Rural,The University of Melbourne,1.70758571428571,6.96,71.33,1.70758571428571,N/A,N/A,0,2,0,-,
141,30/08/2023 22:21:09,Non-Rural,The University of Melbourne,1.70714285714286,6.98,71,1.70714285714286,N/A,4th,2,0,0,-,
142,24/10/2023 00:55:46,Non-Rural,The University of Melbourne,1.70658571428571,6.813,73.33,1.70658571428571,N/A,2nd,0,0,0,-,
143,31/08/2023 16:40:09,Non-Rural,The University of Melbourne,1.70472857142857,6.8,73.33,1.70472857142857,N/A,N/A,0,0,0,-,
144,30/08/2023 11:21:15,Non-Rural,The University of Melbourne,1.70387142857143,6.934,71.33,1.70387142857143,N/A,N/A,0,0,0,-,
145,07/09/2023 15:30:03,Non-Rural,The University of Melbourne,1.70285714285714,6.95,71,1.70285714285714,N/A,N/A,0,0,0,Applied for GAM,
146,30/08/2023 11:52:00,Non-Rural,The University of Melbourne,1.70214285714286,6.875,72,1.70214285714286,N/A,N/A,0,0,0,-,
