,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
168,Non-Rural,56,64,77,0,0,0,0.0,,The University of Western Australia,5.85,0.0,6.913,0.0,,0.0,6.925,0.0,,0.0,6.921
169,Rural,62,70,78,8,0,0,The University of Melbourne,7,Griffith University,6.913,0.0,,0.0,,0.0,,0.0,6.917,0.0,
170,Non-Rural,65,77,73,0,2,2,The University of Melbourne,6.725,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
171,Non-Rural,57,83,83,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
172,Non-Rural,71,70,53,6,0,0,The University of Notre Dame Sydney,6.73,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
173,Non-Rural,66,73,69,0,0,0,The University of Melbourne,6.9,Deakin University,6.73,0.0,,0.0,,0.0,,0.0,,0.0,
174,Non-Rural,67,66,89,0,0,0,The University of Melbourne,7,Griffith University,6.767,0.0,,0.0,,0.0,,0.0,,0.0,
175,Rural,71,71,58,6,4,4,The University of Melbourne,6.65,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
176,Non-Rural,65,82,73,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
177,Non-Rural,68,64,74,0,0,0,The University of Melbourne,7,The University of Notre Dame Sydney,6.552,0.0,,0.0,,0.0,,0.0,,0.0,
178,Non-Rural,68,66,66,0,0,0,The University of Queensland,6.833333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
179,Non-Rural,63.,82,68,6,0,0,Deakin University,6.667,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
180,Non-Rural,66,74,69,2,2,2,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
181,Non-Rural,68,78,68,0,2,2,,6.763,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
182,Rural,73,75,76,0,0,0,The University of Queensland,6.85,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
183,Non-Rural,63,75,72,0,2,2,The University of Melbourne,6.85,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
184,Non-Rural,57,59,75,4,0,0,Macquarie University,6.917,0.0,,0.0,,0.0,,0.0,6.583,0.0,,0.0,
185,Non-Rural,62,80,69,0,2,2,The University of Melbourne,6.905,0.0,6.944,0.0,,The University of Notre Dame Sydney,6.917,0.0,,0.0,,0.0,
186,Rural,59,1,55,8,0,0,The University of Queensland,5.85,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
187,Rural,79,80,74,0,2,2,Australian National University,6.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
188,Non-Rural,64,66,87,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
189,Non-Rural,59,77,80,4,0,0,The University of Melbourne,6.98,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
190,Non-Rural,69,71,70,0,0,0,The University of Melbourne,6.984,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
191,Non-Rural,57,62,67,4,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
192,Non-Rural,64,63.,79,0,0,0,The University of Melbourne,6.975,0.0,6.229,0.0,,0.0,,0.0,,0.0,,0.0,
193,Non-Rural,67,69,69,0,0,0,The University of Queensland,6.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
194,Non-Rural,65,73,95,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
195,Non-Rural,64,79,75,0,0,0,,6.937,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
196,Non-Rural,59,82,73,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
197,Rural,68,80,73,4,0,0,The University of Melbourne,6.007,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
198,Rural,54,62,51,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
