Residency,University,Offer type,Postgrad,Rural?,GPA,GAMSAT,GPA/7 + GAMSAT/100,Year,Deakin Bonus,Melbourne Access,,,,,,,,
Local,Deakin University,CSP,No,No,6.93,66,1.65,2020,,,,,,,,,,
Local,Deakin University,CSP,No,No,6.64,72,1.668571429,2020,,,,,,,,,,
Local,Deakin University,CSP,Yes,No,6.98,66,1.657142857,2020,8,,,,,,,,,
Local,Deakin University,CSP,No,No,6.46,73,1.652857143,2020,,,,,,,,,,
Local,Deakin University,BMP,No,No,6.97,66,1.655714286,2020,,,,,,,,,,
Local,Deakin University,BMP,No,No,6.91,66,1.647142857,2020,2,,,,,,,,,
Local,Deakin University,BMP,Yes,No,7,63,1.63,2020,,,,,,,,,,
Local,Deakin University,CSP,No,No,6.73,67,1.631428571,2020,2,,,,,,,,,
Local,Deakin University,CSP,No,No,6.95,66,1.652857143,2020,,,,,,,,,,
Local,Deakin University,CSP,No,No,6.98,66,1.657142857,2020,,,,,,,,,,
Local,Deakin University,CSP,No,No,6.8,68,1.651428571,2020,,,,,,,,,,
Local,Deakin University,CSP,No,No,6.45,71,1.631428571,2020,2,,,,,,,,,
Local,Deakin University,BMP,No,No,6.99,65,1.648571429,2020,6,,,,,,,,,
Local,Deakin University,CSP,No,No,6.56,66,1.597142857,2020,4,,,,,,,,,
Local,Deakin University,CSP,No,No,6.96,67,1.664285714,2020,,,,,,,,,,
Local,Deakin University,BMP,No,No,6.78,68,1.648571429,2020,,,,,,,,,,
Local,Deakin University,CSP,No,No,6.9,69,1.675714286,2020,2,,,,,,,,,
Local,Deakin University,CSP,No,No,7,62,1.62,2020,14,,,,,,,,,
Local,Deakin University,CSP,No,No,5.98,68,1.534285714,2020,2,,,,,,,,,
Local,Deakin University,CSP,Yes,Yes,6.19,69,1.574285714,2020,6,,,,,,,,,
Local,Deakin University,BMP,No,Yes,6.56,56,1.497142857,2020,,,,,,,,,,
Local,Deakin University,CSP,Yes,Yes,6.4,58,1.494285714,2020,14,,,,,,,,,
Local,Flinders University,Other,No,No,7,67,1.67,2020,,,,,,,,,,
Local,Flinders University,Other,No,No,6.79,63,1.6,2020,,,,,,,,,,
Local,Flinders University,CSP,No,No,6.29,68,1.578571429,2020,,,,,,,,,,
Local,Flinders University,CSP,No,No,5.83,64,1.472857143,2020,,,,,,,,,,
Local,Flinders University,CSP,No,No,6.7,67,1.627142857,2020,,,,,,,,,,
Local,Flinders University,CSP,No,No,5.23,71,1.457142857,2020,,,,,,,,,,
Local,Flinders University,Other,No,No,6.93,69,1.68,2020,,,,,,,,,,
Local,Flinders University,CSP,No,No,6.93,67,1.66,2020,,,,,,,,,,
Local,Flinders University,CSP,No,No,5.86,73,1.567142857,2020,,,,,,,,,,
Local,Flinders University,CSP,No,No,6.5,61,1.538571429,2020,,,,,,,,,,
Local,Flinders University,Other,No,No,6.13,69,1.565714286,2020,,,,,,,,,,
Local,Flinders University,Other,No,No,6.29,65,1.548571429,2020,,,,,,,,,,
Local,Flinders University,CSP,No,Yes,6.33,59,1.494285714,2020,,,,,,,,,,
Local,Flinders University,Other,No,Yes,6.75,55,1.514285714,2020,,,,,,,,,,
Local,Flinders University,Other,No,Yes,5.9,59,1.432857143,2020,,,,,,,,,,
Local,Flinders University,BMP,No,Yes,6.27,53,1.425714286,2020,,,,,,,,,,
Local,Flinders University,CSP,No,Yes,6.51,59,1.52,2020,,,,,,,,,,
Local,Flinders University,Other,No,Yes,6.08,63,1.498571429,2020,,,,,,,,,,
Local,Flinders University,CSP,No,Yes,6.42,66,1.577142857,2020,,,,,,,,,,
International,Griffith University,CSP,No,No,6.96,61,1.604285714,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.5,69,1.618571429,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.97,67,1.665714286,2020,,,,,,,,,,
Local,Griffith University,CSP,Yes,No,6.92,64,1.628571429,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.86,64,1.62,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.98,66,1.657142857,2020,,,,,,,,,,
Local,Griffith University,CSP,Yes,No,7,65,1.65,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.57,69,1.628571429,2020,,,,,,,,,,
Local,Griffith University,BMP,No,No,7,62,1.62,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.97,65,1.645714286,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.87,69,1.671428571,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.79,65,1.62,2020,,,,,,,,,,
Local,Griffith University,BMP,No,No,6.81,66,1.632857143,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.44,66,1.58,2020,,,,,,,,,,
Local,Griffith University,CSP,Yes,No,7,62,1.62,2020,,,,,,,,,,
Local,Griffith University,BMP,No,No,6.83,66,1.635714286,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.51,71,1.64,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.24,76,1.651428571,2020,,,,,,,,,,
Local,Griffith University,CSP,Yes,No,6.67,67,1.622857143,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.79,68,1.65,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.78,61,1.578571429,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.55,78,1.715714286,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.85,65,1.628571429,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.59,69,1.631428571,2020,,,,,,,,,,
Local,Griffith University,CSP,Yes,No,6.41,60,1.515714286,2020,,,,,,,,,,
Local,Griffith University,CSP,Yes,No,7,61,1.61,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.45,72,1.641428571,2020,,,,,,,,,,
Local,Griffith University,CSP,No,No,6.65,66,1.61,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.49,58,1.507142857,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.38,59,1.501428571,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.54,64,1.574285714,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.14,60,1.477142857,2020,,,,,,,,,,
Local,Griffith University,BMP,Yes,Yes,6.91,61,1.597142857,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.52,58,1.511428571,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.65,64,1.59,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.43,56,1.478571429,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.67,63,1.582857143,2020,,,,,,,,,,
Local,Griffith University,CSP,Yes,Yes,6.55,63,1.565714286,2020,,,,,,,,,,
Local,Griffith University,BMP,No,Yes,6.69,56,1.515714286,2020,,,,,,,,,,
Local,Griffith University,CSP,No,Yes,6.91,61,1.597142857,2020,,,,,,,,,,
Local,Macquarie University,FFP,No,No,5.67,75,1.56,2020,,,,,,,,,,
Local,Macquarie University,FFP,No,No,6.48,65,1.575714286,2020,,,,,,,,,,
Local,Macquarie University,FFP,No,No,6.12,66,1.534285714,2020,,,,,,,,,,
Local,Macquarie University,FFP,No,No,6.62,70,1.645714286,2020,,,,,,,,,,
Local,Macquarie University,FFP,No,No,6.73,63,1.591428571,2020,,,,,,,,,,
Local,Macquarie University,FFP,No,No,6.9,63,1.615714286,2020,,,,,,,,,,
International,University of Melbourne,FFP,No,No,6.96,61,1.604285714,2020,,,,,,,,,,
International,University of Melbourne,FFP,No,No,6.3,6,0.96,2020,,,,,,,,,,
International,University of Melbourne,BMP,No,Yes,6.6,65,1.592857143,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.95,74,1.732857143,2020,,,,,,,,,,
Local,University of Melbourne,CSP,Yes,No,6.83,65,1.625714286,2020,,,,,,,,,,
Local,University of Melbourne,FFP,No,No,6.88,57,1.552857143,2020,,,,,,,,,,
Local,University of Melbourne,FFP,No,No,6.83,68,1.655714286,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.51,61,1.54,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.95,70,1.692857143,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.9,70,1.685714286,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.97,65,1.645714286,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.99,66,1.658571429,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.9,71,1.695714286,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.94,65,1.641428571,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.7,68,1.637142857,2020,,,,,,,,,,
Local,University of Melbourne,FFP,Yes,No,7,70,1.7,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.89,71,1.694285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.83,64,1.615714286,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,No,6.87,69,1.671428571,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,No,6.89,65,1.634285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.9,79,1.775714286,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.75,70,1.664285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,7,70,1.7,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.68,74,1.694285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.56,72,1.657142857,2020,,,,,,,,,,
Local,University of Melbourne,FFP,No,No,6.85,65,1.628571429,2020,,,,,,,,,,
Local,University of Melbourne,FFP,No,No,6.76,68,1.645714286,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.98,67,1.667142857,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.96,73,1.724285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.92,71,1.698571429,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.98,71,1.707142857,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,No,6.95,67,1.662857143,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,No,6.85,68,1.658571429,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,No,6.71,70,1.658571429,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.89,73,1.714285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.82,79,1.764285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.55,74,1.675714286,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6,57,1.427142857,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,5.93,59,1.437142857,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.89,72,1.704285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.98,68,1.677142857,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.98,63,1.627142857,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,No,6.91,68,1.667142857,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,Yes,6.68,64,1.594285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,Yes,6.88,64,1.622857143,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,Yes,6.68,65,1.604285714,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,Yes,6.43,63,1.548571429,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,Yes,6.48,66,1.585714286,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,Yes,6.84,64,1.617142857,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,Yes,5.4,58,1.351428571,2020,,,,,,,,,,
Local,University of Melbourne,CSP,No,Yes,6.75,79,1.754285714,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,Yes,6.47,62,1.544285714,2020,,,,,,,,,,
Local,University of Melbourne,CSP,Yes,Yes,6.72,61,1.57,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,Yes,6.66,63,1.581428571,2020,,,,,,,,,,
Local,University of Melbourne,BMP,No,Yes,6.42,64,1.557142857,2020,,,,,,,,,,
Local,University of Melbourne,CSP,Yes,Yes,7,61,1.61,2020,,,,,,,,,,
International,University of Notre Dame Fremantle,BMP,No,No,6.96,62,1.614285714,2020,,,,,,,,,,
International,University of Notre Dame Fremantle,CSP,No,No,6.8,58,1.551428571,2020,,,,,,,,,,
