,Rurality,University,GPA,GAMSAT,Final Combo Score,Raw Combo Score,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,
193,Non-Rural,Griffith University,6.2,67.25,1.55821428571429,1.55821428571429,0,2,0,-,
194,Non-Rural,Griffith University,6,70,1.55714285714286,1.55714285714286,0,2,0,GAM 70 Portfolio Above Avergare,
195,Non-Rural,Griffith University,5.7,73.25,1.54678571428571,1.54678571428571,0,0,0,-,
196,Non-Rural,Griffith University,5.278,79.25,1.5465,1.5465,4,2,0,-,
197,Non-Rural,Griffith University,6.4,62.5,1.53928571428571,1.53928571428571,2,0,0,-,
198,Non-Rural,Griffith University,6.125,64,1.515,1.515,0,0,0,-,
199,Non-Rural,Griffith University,6,65.75,1.51464285714286,1.51464285714286,2,0,0,-,
200,Non-Rural,Griffith University,6.135,63.5,1.51142857142857,1.51142857142857,0,2,0,-,
201,Non-Rural,Griffith University,6.3,56.75,1.4675,1.4675,0,0,0,GAM,
202,Non-Rural,Griffith University,5.144,69.75,1.43235714285714,1.43235714285714,0,0,0,-,
203,Non-Rural,Macquarie University,6.917,69,1.67814285714286,1.67814285714286,0,0,0,-,
204,Non-Rural,Macquarie University,6.6,68.75,1.63035714285714,1.63035714285714,2,0,0,-,
205,Non-Rural,Macquarie University,6.6,68.75,1.63035714285714,1.63035714285714,2,0,0,-,
206,Non-Rural,Macquarie University,6.681,67.25,1.62692857142857,1.62692857142857,0,0,0,"Hospital Pharmacist, nil interviews",
207,Non-Rural,Macquarie University,6.942,63,1.65146571428571,1.62171428571429,0,2,3,average portfolio,
208,Non-Rural,Macquarie University,6.591,67.75,1.61907142857143,1.61907142857143,0,0,0,-,
209,Non-Rural,Macquarie University,6.612,67.25,1.61707142857143,1.61707142857143,0,0,0,Below average portfolio,
210,Non-Rural,Macquarie University,6.65,65.75,1.6075,1.6075,6,2,0,thought I had a strong portfolio,
211,Non-Rural,Macquarie University,6.927,61.75,1.63675857142857,1.60707142857143,0,0,3,-,
212,Non-Rural,Macquarie University,6.437,68.5,1.60457142857143,1.60457142857143,0,0,0,-,
213,Non-Rural,Macquarie University,6.315,68.75,1.58964285714286,1.58964285714286,0,2,0,-,
214,Non-Rural,Macquarie University,6.53,63.5,1.56785714285714,1.56785714285714,0,2,0,above average portfolio,
215,Non-Rural,Macquarie University,6.1,66.25,1.56007142857143,1.53392857142857,6,0,3,strong,
216,Non-Rural,Macquarie University,5.25,69.75,1.4475,1.4475,0,0,0,-,
217,Non-Rural,The University of Melbourne,6.985,69,1.68785714285714,1.68785714285714,2,0,0,-,
218,Non-Rural,The University of Melbourne,6.75,72.3333333333333,1.68761904761905,1.68761904761905,0,0,0,-,
219,Non-Rural,The University of Melbourne,6.8,71.3333333333333,1.6847619047619,1.6847619047619,0,0,0,-,
220,Non-Rural,The University of Melbourne,6.913,69.3333333333333,1.68090476190476,1.68090476190476,0,0,0,-,
221,Non-Rural,The University of Melbourne,6.6,73,1.67285714285714,1.67285714285714,0,0,0,-,
222,Non-Rural,The University of Melbourne,6.854,69.3333333333333,1.67247619047619,1.67247619047619,0,0,0,-,
223,Non-Rural,The University of Melbourne,6.85,69.3333333333333,1.67190476190476,1.67190476190476,0,0,0,-,
224,Non-Rural,The University of Melbourne,6.802,69.6666666666667,1.66838095238095,1.66838095238095,2,0,0,-,
225,Non-Rural,The University of Melbourne,6.794,69.6666666666667,1.6672380952381,1.6672380952381,0,0,0,GAM,
226,Non-Rural,The University of Melbourne,7,66.6666666666667,1.66666666666667,1.66666666666667,0,0,0,-,
227,Non-Rural,The University of Melbourne,6.927,67.6666666666667,1.6662380952381,1.6662380952381,0,0,0,Thought I had a good portfolio but guess not?,
228,Non-Rural,The University of Melbourne,6.95,67.3333333333333,1.66619047619048,1.66619047619048,0,0,0,RMP,
229,Non-Rural,The University of Melbourne,6.775,69.6666666666667,1.66452380952381,1.66452380952381,0,0,0,-,
230,Non-Rural,The University of Melbourne,6.588,72.3333333333333,1.66447619047619,1.66447619047619,0,0,0,-,
231,Non-Rural,The University of Melbourne,6.5,73.3333333333333,1.66190476190476,1.66190476190476,2,0,0,-,
232,Non-Rural,The University of Melbourne,6.986,66.3333333333333,1.66133333333333,1.66133333333333,2,0,0,-,
233,Non-Rural,The University of Melbourne,6.932,67,1.66028571428571,1.66028571428571,2,0,0,-,
234,Non-Rural,The University of Melbourne,7,66,1.66,1.66,0,0,0,Non-WA resident,
235,Non-Rural,The University of Melbourne,6.667,70.6666666666667,1.65909523809524,1.65909523809524,0,0,0,-,
236,Non-Rural,The University of Melbourne,6.875,67.6666666666667,1.65880952380952,1.65880952380952,0,0,0,-,
237,Non-Rural,The University of Melbourne,6.875,67.6666666666667,1.65880952380952,1.65880952380952,0,0,0,Non-WA resident,
238,Non-Rural,The University of Melbourne,6.757,69.3333333333333,1.65861904761905,1.65861904761905,0,0,0,Average portfolio,
239,Non-Rural,The University of Melbourne,6.569,72,1.65842857142857,1.65842857142857,6,0,0,-,
240,Non-Rural,The University of Melbourne,7,65.6666666666667,1.65666666666667,1.65666666666667,2,0,0,-,
241,Non-Rural,The University of Melbourne,6.88,67.3333333333333,1.65619047619048,1.65619047619048,0,0,0,-,
242,Non-Rural,The University of Melbourne,6.969,66,1.65557142857143,1.65557142857143,0,0,0,-,
243,Non-Rural,The University of Melbourne,6.629,70.6666666666667,1.65366666666667,1.65366666666667,0,0,0,-,
244,Non-Rural,The University of Melbourne,6.58,71.3333333333333,1.65333333333333,1.65333333333333,2,0,0,Average portfolio,
245,Non-Rural,The University of Melbourne,7,65.3333333333333,1.65333333333333,1.65333333333333,2,0,0,-,
246,Non-Rural,The University of Melbourne,6.533,72,1.65328571428571,1.65328571428571,0,0,0,portfolio strength (average),
247,Non-Rural,The University of Melbourne,6.6678,70,1.65254285714286,1.65254285714286,0,0,0,Forgot to submit Notre Dame portfolio lol,
248,Non-Rural,The University of Melbourne,6.867,67,1.651,1.651,0,0,0,GAM,
249,Non-Rural,The University of Melbourne,6.604,70.6666666666667,1.65009523809524,1.65009523809524,2,2,0,-,
250,Non-Rural,The University of Melbourne,6.94,65.6666666666667,1.64809523809524,1.64809523809524,0,2,0,-,
251,Non-Rural,The University of Melbourne,6.843,67,1.64757142857143,1.64757142857143,0,0,0,-,
252,Non-Rural,The University of Melbourne,6.913,66,1.64757142857143,1.64757142857143,0,0,0,-,
253,Non-Rural,The University of Melbourne,6.921,65.6666666666667,1.64538095238095,1.64538095238095,0,0,0,-,
254,Non-Rural,The University of Melbourne,6.92,65.6666666666667,1.6452380952381,1.6452380952381,0,2,0,GAM,
255,Non-Rural,The University of Melbourne,6.75,68,1.64428571428571,1.64428571428571,0,2,0,-,
256,Non-Rural,The University of Melbourne,6.75,68,1.64428571428571,1.64428571428571,0,2,0,"Not WA resident, i would say portfolio was maybe slightly above average (idk?)",
257,Non-Rural,The University of Melbourne,6.863,66.3333333333333,1.64376190476191,1.64376190476191,0,0,0,-,
