,Timestamp,Rurality,University,Final Combo,GPA,GAMSAT,Raw Combo,CASPer Quartile,ANU Bonuses,Deakin Bonus,MQ Bonus,Deakin RTS Tier,Unimelb GAM,UNDF Bonuses,UNDS Bonuses,UQ MP/RMP Tier + Location,UoW Bonuses,Notes,Outlier
102,31/08/2024 17:47:50,Non-Rural,Griffith University,1.6358,6.813,66.25,1.6358,3rd,0,2,0,Did not apply,,None,None,,,0,
103,30/08/2024 14:43:58,Non-Rural,Griffith University,1.6321,6.927,64.25,1.6321,N/A,0,0,0,,,,,,,0,
104,31/08/2024 20:28:26,Non-Rural,Griffith University,1.625,7,62.5,1.625,4th,0,0,0,,,None,,,,0,
105,01/09/2024 06:13:36,Non-Rural,Griffith University,1.625,7,62.5,1.625,4th,0,0,0,,,,HDR,,,0,
106,30/08/2024 15:49:08,Non-Rural,Griffith University,1.6219,6.646,67.25,1.6219,4th,0,0,0,,No,,None,,,1,
107,30/08/2024 13:58:28,Non-Rural,Griffith University,1.6213,6.799,65,1.6213,2nd,0,2,0,Did not apply,Yes,,None,,,0,
108,30/08/2024 12:11:19,Non-Rural,Griffith University,1.6181,6.917,63,1.6181,4th,0,0,0,,,None,,Tier 3,Toowoomba,0,
109,30/08/2024 18:17:29,Non-Rural,Griffith University,1.6165,6.643,66.75,1.6165,3rd,0,0,0,,No,None,None,,,0,
110,30/08/2024 13:41:06,Non-Rural,Griffith University,1.6139,6.45,69.25,1.6139,2nd,0,0,0,,,None,None,,,1,
111,30/08/2024 11:28:53,Non-Rural,Griffith University,1.6131,6.567,67.5,1.6131,3rd,0,0,0,,No,None,None,Tier 3,Toowoomba,0,
112,30/08/2024 13:28:11,Non-Rural,Griffith University,1.6104,6.74,64.75,1.6104,2nd,0,0,0,,,None,None,,,0,
113,23/09/2024 16:30:16,Non-Rural,Griffith University,1.6095,6.944,61.75,1.6095,N/A,0,6,0,Did not apply,No,,,,,0,
114,30/08/2024 11:54:45,Non-Rural,Griffith University,1.6083,6.778,64,1.6083,4th,0,0,0,,,,None,,,1,
115,30/08/2024 12:09:59,Non-Rural,Griffith University,1.60592857142857,6.569,66.75,1.60592857142857,4th,0,0,0,,,,None,,,0,
116,30/08/2024 12:17:23,Non-Rural,Griffith University,1.6038,6.729,64.25,1.6038,3rd,0,0,0,,No,None,None,,,1,
117,01/09/2024 11:25:20,Non-Rural,Griffith University,1.5986,6.15,72,1.5986,1st,0,0,0,,,None,,Tier 3,Toowoomba,2,"I got a rejection from UOW, but the other universities haven't said anything to me."
118,30/08/2024 13:50:10,Non-Rural,Griffith University,1.5932,6.375,68.25,1.5932,N/A,2,0,0,Did not apply,No,,,,,0,
119,30/08/2024 14:15:16,Non-Rural,Griffith University,1.5925,6.3,69.25,1.5925,N/A,2,0,0,Did not apply,No,,,,,0,
120,30/08/2024 13:36:13,Non-Rural,Griffith University,1.5921,6.542,65.75,1.5921,2nd,2,0,0,Did not apply,Yes,,None,,,0,
121,30/08/2024 15:47:58,Non-Rural,Griffith University,1.5897,6.438,67,1.5897,4th,0,0,0,Did not apply,Yes,,,Tier 3,Rockhampton,0,"GAM, Centrelink, family circumstances first year, currently completing honours"
122,30/08/2024 18:11:10,Non-Rural,Griffith University,1.5886,6.238,69.75,1.5886,3rd,0,0,0,Did not apply,No,,None,Tier 3,Rockhampton,2,
123,30/08/2024 19:22:06,Non-Rural,Griffith University,1.5821,6.647,63.25,1.5821,4th,0,2,0,Did not apply,,None,None,,,0,
124,30/08/2024 12:34:06,Non-Rural,Griffith University,1.5813,6.729,62,1.5813,4th,2,0,0,Did not apply,,None,None,,,0,My GPA is really hard to calculate so not sure
125,30/08/2024 11:31:38,Non-Rural,Griffith University,1.5808,6.708,62.25,1.5808,1st,0,2,0,Did not apply,Yes,,,Tier 3,Rockhampton,1,
126,30/08/2024 11:42:57,Non-Rural,Griffith University,1.5776,6.913,59,1.5776,2nd,0,2,0,Did not apply,Yes,,,,,1,
127,17/09/2024 23:05:16,Non-Rural,Griffith University,1.5771,6.455,65.5,1.5771,4th,0,0,0,,,None,None,,,0,
128,30/08/2024 15:39:14,Non-Rural,Griffith University,1.5668,6.4,65.25,1.5668,N/A,0,0,0,,,,,,,0,
129,30/08/2024 12:33:40,Non-Rural,Griffith University,1.5636,6.5,63.5,1.5636,1st,0,0,0,Did not apply,,,None,,,0,
130,30/08/2024 11:40:16,Non-Rural,Griffith University,1.5521,6.507,62.25,1.5521,3rd,0,10,0,Did not apply,,,,,,2,
131,02/09/2024 12:48:48,Non-Rural,Griffith University,1.5454,6.25,65.25,1.5454,2nd,0,4,0,Did not apply,No,,None,,,3,
132,30/08/2024 16:07:56,Non-Rural,Griffith University,1.5451,6.108,67.25,1.5451,3rd,0,2,0,Did not apply,No,HDR,HDR,,,2,
133,30/08/2024 12:11:00,Non-Rural,Griffith University,1.5011,6.15,62.25,1.5011,N/A,0,0,0,,Yes,,,,,0,
134,30/08/2024 12:07:31,Non-Rural,Griffith University,1.4978,5.917,65.25,1.4978,3rd,0,0,0,,,None,None,Tier 3,Toowoomba,1,
135,30/08/2024 16:24:04,Non-Rural,Griffith University,1.4356,6.339,53,1.4356,3rd,0,0,0,,No,,None,,,2,
136,02/09/2024 17:24:36,Non-Rural,Macquarie University,1.62135714285714,6.712,66.25,1.62135714285714,4th,0,0,0,,,,None,,,0,
137,30/08/2024 12:09:59,Non-Rural,Macquarie University,1.61821428571429,6.655,66.75,1.6182,4th,0,0,0,,,,None,,,0,
138,30/08/2024 11:46:21,Non-Rural,Macquarie University,1.61392857142857,6.73,65.25,1.6139,2nd,0,4,0,Did not apply,No,,None,,,2,
139,30/08/2024 13:28:11,Non-Rural,Macquarie University,1.61035714285714,6.74,64.75,1.6104,2nd,0,0,0,,,None,None,,,0,
140,30/08/2024 15:49:08,Non-Rural,Macquarie University,1.60707142857143,6.542,67.25,1.6071,4th,0,0,0,,No,,None,,,1,
141,30/08/2024 13:18:49,Non-Rural,Macquarie University,1.598,6.881,61.5,1.598,4th,0,0,0,,,,None,,,1,
142,30/08/2024 11:31:38,Non-Rural,Macquarie University,1.5645,6.594,62.25,1.5645,1st,0,2,0,Did not apply,Yes,,,Tier 3,Rockhampton,1,
