,rurality,s1 score,s2 score,s3 score,deakin bonus,anu bonus,mq bonus,notes,interview?,interview uni,interview uni gpa,interview uni gamsat,pref 1 uni,pref 1 gpa,pref 1 gamsat,pref 2 uni,pref 2 gpa,pref 2 gamsat,pref 3 uni,pref 3 gpa,pref 3 gamsat,pref 4 uni,pref 4 gpa,pref 4 gamsat,pref 5 uni,pref 5 gpa,pref 5 gamsat,pref 6 uni,pref 6 gpa,pref 6 gamsat,year,uq tier,casper quartile,deakin tier,unimelb gam,undf bonuses,unds bonuses,uow bonuses
94,Non-Rural,71,62,76,2,0,0,,No,,,,The University of Notre Dame Sydney,6.479,69.66666667,Deakin University,6.479,71.25,Australian National University,6.479,71.25,The University of Notre Dame Fremantle,6.479,69.66666667,Griffith University,6.417,71.25,The University of Western Australia,6.354,71.25,2022,,,,,,,
95,Non-Rural,69,67,73,0,0,0,,Yes,The University of Queensland,7.0,69.66666667,The University of Melbourne,6.775,69.66666667,The University of Notre Dame Sydney,6.789,69.66666667,,,,,,,,,,,,,2022,,,,,,,
96,Non-Rural,66,75,74,0,0,0,,Yes,The University of Wollongong,5.5,72.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
97,Non-Rural,61,85,67,0,0,0,above average/ strong portfolio (uow gave it 4/5 last year),Yes,The University of Notre Dame Fremantle,6.3125,71.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
98,Non-Rural,57,68,63,6,0,0,"wa resident, strong portfolio.",Yes,The University of Notre Dame Fremantle,6.481,62.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
99,Non-Rural,58,78,69,0,0,0,,Yes,The University of Queensland,6.888,68.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
100,Non-Rural,66,70,68,2,0,0,,Yes,The University of Notre Dame Sydney,6.5,68.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
101,Non-Rural,73,70,67,0,0,0,,Yes,The University of Queensland,6.85714,70.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
102,Rural,63,67,67,0,2,0,,Yes,The University of Queensland,7.0,65.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
103,Non-Rural,63,75,69,2,0,0,,Yes,The University of Queensland,6.985,69.0,The University of Melbourne,6.985,69.0,,,,,,,,,,,,,,,,2022,,,,,,,
104,Non-Rural,69,80,65,0,0,0,decent portfolio,Yes,The University of Notre Dame Sydney,6.48,71.33333333,The University of Queensland,6.5,71.33333333,Griffith University,6.3,69.75,,,,,,,,,,,,,2022,,,,,,,
105,Non-Rural,59,71,61,2,0,0,very strong portfolio,Yes,The University of Notre Dame Sydney,6.757,63.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
106,Non-Rural,65,61,74,0,0,0,,No,,,,Macquarie University,6.437,68.5,,,,,,,,,,,,,,,,2022,,,,,,,
107,Non-Rural,60,70,59,0,0,0,-,Yes,The University of Notre Dame Sydney,6.59,63.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
108,Non-Rural,65,64,68,0,0,0,wa resident.,Yes,The University of Notre Dame Fremantle,6.7,65.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
109,Non-Rural,60,66,78,0,0,0,,Yes,The University of Notre Dame Sydney,6.868,68.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
110,Non-Rural,74,74,69,2,2,0,,Yes,The University of Queensland,7.0,72.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
111,Non-Rural,65,89,62,6,0,0,,Yes,Deakin University,6.615,69.5,The University of Melbourne,6.569,72.0,Griffith University,6.479,69.5,The University of Queensland,6.075,72.0,,,,,,,,,,2022,,,,,,,
112,Non-Rural,64,56,71,6,0,0,,Yes,Deakin University,6.71,65.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
113,Rural,72,63,81,4,0,0,above average portfolio,Yes,The University of Wollongong,5.5,74.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
114,Non-Rural,66,84,62,2,2,0,,Yes,Deakin University,7.0,68.5,The University of Melbourne,6.604,70.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
115,Non-Rural,70,68,54,0,2,0,,No,,,,The University of Melbourne,6.575,64.0,Deakin University,6.583,61.5,The University of Notre Dame Sydney,6.583,64.0,The University of Notre Dame Fremantle,6.583,64.0,Australian National University,6.572,61.5,,,,2022,,,,,,,
116,Rural,71,78,57,0,0,0,completing bachelor of occupational therapy at uq,Yes,The University of Queensland,5.9,68.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
