THIS FORM IS ONLY FOR:,Year of graduation:,I received an offer from:,Do you have a prior qualification with the same university?:,Preference number of the above university (1st ... 6th):,What was your first preference?:,I interviewed at:,Offer Type (please change):,GPA (as calculated by the university making the offer):,Weighted Average Mark (Monash only):,GAMSAT Section 1 score:,GAMSAT Section 2 score:,GAMSAT Section 3 score:,Overall GAMSAT (as calculated by the university making the offer):,MCAT 8/8/M/8 or other score:,Score type:,Undergraduate degree:,Residency status in Australia:,Highest post graduate qualification?:,Rural candidate?:,Deakin University bonus (total %):,Flinders University candidates only:,Flinders University NT Medical Program (NTMP) applicant?:,University of Melbourne Graduate Access applicant?:,What kind of doctor I want to be when I grow up:
Medical Student,2025,Australian National University,No,1,Australian National University,Australian National University,FFP,6.7,-,70,72,78,75,,GAMSAT,BMedSc(Hons),Local,Honours,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,CSP,6.72,-,62,64,78,70,,GAMSAT,BSc - Biotechnology (General),Local,PhD,No,2,Flinders University degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Wollongong,No,4,Deakin University,University of Sydney,CSP,5.99,-,68,74,64,68,,GAMSAT,Allied health,Local,None,No,4,Non-Flinders degree holder,No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,CSP,6.92,-,63,75,78,72,,GAMSAT,Bachelor of Food and Nutrition,Local,None,No,0,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,6.81,-,66,72,65,68,,GAMSAT,Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Geratric Medicine
Medical Student,2025,University of Queensland,No,2,Griffith University,University of Queensland,CSP,6.97,-,61,78,63,67,,GAMSAT,Bachelor of Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,Macquarie University,No,5,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.98,-,53,70,64,63,,GAMSAT,Bachelor of Biomedical Science (Honours),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,BMP,6.97,-,78,80,82,80,,GAMSAT,Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.91,-,63,89,75,75,,GAMSAT,Bachelor of Science,Local,None,No,0,Non-Flinders degree holder,No,Yes,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Melbourne,No,1,University of Sydney,University of Melbourne,CSP,6.65,-,78,80,63,74,,GAMSAT,Bachelor of Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,Deakin University,No,2,University of Melbourne,University of Melbourne,BMP,6.93,81,62,78,73,73,,GAMSAT,Biomed,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Paediatric Emergency Medicine
Medical Student,2025,University of Queensland,No,5,University of Melbourne,University of Queensland,BMP,7,-,63,80,62,67,,GAMSAT,BSc (Hons),Local,Masters (coursework),No,0,Non-Flinders degree holder,Yes,Yes,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,6.95,-,65,63,86,75,,GAMSAT,Bachelor of Biomedicine,Local,Honours,No,2,Non-Flinders degree holder,No,No,FRACS: Orthopaedic Surgery
Medical Student,2025,Australian National University,No,3,Deakin University,Australian National University,CSP,6.73,-,71,66,73,71,,GAMSAT,Bach of Science (Honours),International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,BMP,7,-,58,63,77,66,,GAMSAT,BSc,Local,PhD,Yes,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Griffith University,Yes,1,Griffith University,Griffith University,BMP,6.48,-,64,58,62,61,,GAMSAT,Commerce,Local,Masters (coursework),Yes,0,Non-Flinders degree holder,No,Yes,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Notre Dame Sydney,No,2,University of Wollongong,University of Notre Dame Sydney,CSP,6.22,-,69,73,57,66,,GAMSAT,BSc,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Notre Dame Sydney,No,3,University of Notre Dame Fremantle,University of Sydney,FFP,6.87,-,N/A,N/A,N/A,55,,GAMSAT,B.Pharm (Hon I) + PhD (not completed yet),Local,None,No,4,Non-Flinders degree holder,No,No,FRACP: Haematology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,7,-,66,65,72,69,,GAMSAT,Bachelor of Clinical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Paediatric Surgery
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.81,-,69,66,76,70,,GAMSAT,B Med Sci,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Gastroenterology and Hepatology
Medical Student,2025,University of Queensland,No,3,Deakin University,University of Queensland,CSP,7,-,67,67,68,67,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,BMP,6.54,-,84,66,83,78,,GAMSAT,BSc (Mathematics),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Wollongong,No,1,University of Wollongong,University of Wollongong,BMP,6.93,-,49,49,49,65,,GAMSAT,Bachelor of Physiotherapy,Local,None,No,4,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.81,-,69,66,76,70,,GAMSAT,B Med Sci,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Gastroenterology and Hepatology
